model,split,version,true_score,rows,exact_fraction,under_fraction,over_fraction,mean_predicted_score,mean_raw_prediction
small1024_dual01,selection,B0,2,425,0.7435294117647059,0.08705882352941176,0.16941176470588235,2.0870588235294116,2.0787408088235293
small1024_dual01,selection,B0,3,563,0.6678507992895204,0.22202486678507993,0.11012433392539965,2.8880994671403197,2.8793711145648313
small1024_dual01,selection,B0,4,356,0.5870786516853933,0.34269662921348315,0.0702247191011236,3.7134831460674156,3.6934032654494384
small1024_dual01,selection,B0,5,88,0.45454545454545453,0.5113636363636364,0.03409090909090909,4.5,4.504971590909091
small1024_dual01,selection,B0,6,13,0.15384615384615385,0.8461538461538461,0.0,5.153846153846154,5.300480769230769
small1024_dual01,selection,B1,1,112,0.6875,0.0,0.3125,1.3839285714285714,1.4752022879464286
small1024_dual01,selection,B1,2,425,0.6494117647058824,0.12,0.23058823529411765,2.12,2.0787408088235293
small1024_dual01,selection,B1,3,563,0.6891651865008881,0.152753108348135,0.15808170515097691,3.003552397868561,2.8793711145648313
small1024_dual01,selection,B1,4,356,0.648876404494382,0.24719101123595505,0.10393258426966293,3.851123595505618,3.6934032654494384
small1024_dual01,selection,B1,5,88,0.4431818181818182,0.36363636363636365,0.19318181818181818,4.818181818181818,4.504971590909091
small1024_dual01,selection,B1,6,13,0.8461538461538461,0.15384615384615385,0.0,5.846153846153846,5.300480769230769
small1024_dual01,train,B0,1,788,0.7157360406091371,0.0,0.28426395939086296,1.299492385786802,1.2917145859771573
small1024_dual01,train,B0,2,2974,0.8305312710154674,0.0605245460659045,0.1089441829186281,2.0497646267652994,2.0446197776563553
small1024_dual01,train,B0,3,3940,0.7550761421319797,0.16319796954314722,0.0817258883248731,2.919035532994924,2.8927308058375636
small1024_dual01,train,B0,4,2495,0.6817635270541083,0.27975951903807617,0.03847695390781563,3.756312625250501,3.7225450901803607
small1024_dual01,train,B0,5,613,0.5399673735725938,0.4469820554649266,0.013050570962479609,4.559543230016313,4.536551794453508
small1024_dual01,train,B0,6,95,0.35789473684210527,0.6421052631578947,0.0,5.315789473684211,5.3197368421052635
small1024_dual01,train,B1,1,788,0.7868020304568528,0.0,0.2131979695431472,1.2296954314720812,1.2917145859771573
small1024_dual01,train,B1,2,2974,0.734364492266308,0.101546738399462,0.16408876933423,2.066240753194351,2.0446197776563553
small1024_dual01,train,B1,3,3940,0.7555837563451777,0.10786802030456853,0.1365482233502538,3.0296954314720814,2.8927308058375636
small1024_dual01,train,B1,4,2495,0.7527054108216433,0.17755511022044088,0.06973947895791584,3.8925851703406815,3.7225450901803607
small1024_dual01,train,B1,5,613,0.5954323001631321,0.26753670473083196,0.1370309951060359,4.866231647634584,4.536551794453508
small1024_dual01,train,B1,6,95,0.8105263157894737,0.18947368421052632,0.0,5.810526315789474,5.3197368421052635
